Website,Signup
scholastic.com,https://scholasticlibrary.digital.scholastic.com/customer/account/create/
aappublications.org,https://www.aap.org/en/my-account/create-individual-account/
amazon.cn,https://www.amazon.cn/ap/register?_encoding=UTF8&openid.assoc_handle=cnflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.cn%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26ref_%3Dnav_custrec_newcust
uq.edu.au,https://support.future-students.uq.edu.au/app/utils/create_account
pypi.org,https://pypi.org/account/register/
tawk.to,https://dashboard.tawk.to/signup
exoclick.com,https://www.exoclick.com/signup/
cuevana3.io,http://cuevana3.io
alcafashion.nl,https://www.alcafashion.nl/customer/account/create/
unm.edu,https://ctoc.health.unm.edu/Account/Register
ringcentral.com,https://hub.gamechanging.dev/users/sign_up
mrmnutrition.com,https://mrmnutrition.com/account/register
univie.ac.at,http://mimi.phl.univie.ac.at/accounts/signup/
tokyowheel.com,https://tokyowheel.com/signup
viessmann-atlant.com.ua,https://viessmann-atlant.com.ua/index.php?route=account/simpleregister
shopme.am,https://shopme.am/register
wolfram.com,https://user.wolfram.com/wolframid/registration/cmty%3Fcallback%3Dhttps://user.wolfram.com/wolframid/registration/cmty_email
iloveimg.com,https://www.iloveimg.com/register